Country,Alpha-2,Alpha-3,Continent,Anthem,cluster
Rwanda,RW,RWA,Africa,rwanda our beautiful and dear country adorned of hills lakes and volcanoes motherland would be always filled of happiness us all your children abanyarwanda let us sing your glare and proclaim your high facts you maternal bosom of us all would be admired forever prosperous and cover of praises invaluable heritage that god protects to you you filled us priceless goods our common culture identifies us our single language unifies us that our intelligence our conscience and our forces fill you with varied riches for an unceasingly renewed development our valorous ancestors gave themselves bodies and souls as far as making you a big nation you overcame the colonialimperialistic yoke that has devastated africa entirely and has your joy of your sovereign independence acquired that constantly we will defend maintain this cape beloved rwanda standing we commit for you so that peace reigns countrywide that you are free of all hindrance that your determination hires progress that you have excellent relations with all countries and that finally your pride is worth your esteem,3
Saint Helena,SH,SHN,Africa,my heart is drifting southward to my home down in the sea its the isle of st helena where my loved ones wait for me long since i left it but ill soon be going home to my st helena island and swear ill never roam diamonds they are pretty so is your fancy cars but st helena island is prettier by far all the wonders of this world im told they number seven but st helena island is the nearest one to heaven diamonds they are pretty so is your fancy cars but st helena island is prettier by far someday if the lord above comes out of heavens gate im sure hell pick st helena and use it as his place,2
Sao Tome and Principe,ST,STP,Africa,total independence glorious song of the people total independence sacred hymn of combat dynamism in the national struggle eternal oath to the sovereign country of s tomand prcipe warriors in the war without weapons live flame in the soul of the people congregating the sons of the islands around the immortal fatherland total independence total and complete building in progress and peace the happiest nation on earth with the heroic arms of the people working struggling struggling and conquering we go ahead with giant steps in the crusade of the african peoples raising the national flag voice of the people present present and united strong beat in the heart of hope to be a hero in the hour of peril a hero of the nations resurgence dynamism in the national struggle eternal oath to the sovereign country of s tomand prcipe,1
Senegal,SN,SEN,Africa,sound all of you your koras beat the drums the red lion has roared the tamer of the bush with one leap has rushed forward scattering the gloom light on our terrors light on our hopes arise brothers africa behold united shoulder to shoulder o people of sal more than brothers to me arise unite the sea and the springs unite the steppe and the forest hail mother africa hail mother africa sal thou son of the lion arise in the night with great speed restore oh restore to us the honour of our ancestors magnificent as ebony and strong as muscles we are a straight peoplethe sword has no fault sal we make your great design our own to gather the chicks sheltering them from kites to make from them from east to west from north to south a people rising as one in seamless unity yet a people facing all the winds of the earth sal like thee like all our heroes we will be stern without hatred and with open arms the sword we will put peacefully in its sheath for work and words will be our weapon the bantu is our brother the arab and the white man too but if the enemy violates our frontiers we will all be ready weapons in our hands a people in its faith defying all evil young and old men and women death yes but not dishonour,4
Seychelles,SC,SYC,Africa,seychelles our only motherland where we live in harmony happiness love and peace we give thanks to god preserve the beauty of our country the riches of our oceans a precious heritage for the happiness of our children live forever in unity raise our flag together for all eternity join together all seychellois,3
Sierra Leone,SL,SLE,Africa,high we exalt thee realm of the free great is the love we have for thee firmly united ever we stand singing thy praise o native land we raise up our hearts and our voices on high the hills and the valleys reecho our cry blessing and peace be ever thine own land that we love our sierra leone   one with a faith that wisdom inspires one with a zeal that never tires ever we seek to honour thy name ours is the labour thine the fame we pray that no harm on thy children may fall that blessing and peace may descend on us all so may we serve thee ever alone land that we love our sierra leone   knowledge and truth our forefathers spread mighty the nations whom they led mighty they made thee so too may we show forth the good that is ever in thee we pledge our devotion our strength and our might thy cause to defend and to stand for thy right all that we have be ever thine own land that we love our sierra leone,4
Somalia,SO,SOM,Africa,any nations flag bears its own color the sky above us does ours look like defects it has none love it with candor oh you white star at your service we are superior you are in any part of our land be famous oh star like the sun of the faron the day you arose our hearts you have purified with pureness oh you our flag lord may not dim you pray we in this night the detached part of our forces of fivei beseech from  god their return you cause this fate that wrote for us to meet now,1
South Africa,ZA,ZAF,Africa,lord bless africa may her glory be lifted high hear our prayers lord bless us your children lord we ask you to protect our nation intervene and end all conflicts protect us protect our nation protect south africa south africa out of the blue of our heavens from the depths of our seas over our everlasting mountains where the echoing crags resound sounds the call to come together and united we shall stand let us live and strive for freedom in south africa our land,1
South Sudan,SS,SSD,Africa,oh god we praise and glorify you for your grace on south sudan the land of great abundance uphold us united in peace and harmony oh motherland we rise raising flag with the guiding star and sing songs of freedom with joy for justice liberty and prosperity shall forever more reign oh great patriots let us stand up in silence and respect saluting our martyrs whose blood cemented our national foundation we vow to protect our nation oh god bless south sudan,1
Sudan,SD,SDN,Africa,we are the soldiers of god  the soldiers of our homeland we never fail when called for sacrifice death we defy at adversity glory we buy with the highest price this land is ours may our sudan live long an edifice among the nations o sons of the sudan this is your symbol which shoulders your burden and shields your land,1
Swaziland,SZ,SWZ,Africa,o lord our god bestower of the blessings of the swazi we give thee thanks for all our good fortune we offer thanks and praise for our king and for our fair land its hills and rivers thy blessings be on all rulers of our country thine alone is our lord we pray thee to grant us wisdom without deceit or malice establish and fortify us lord eternal,4
Tanzania,TZ,TZA,Africa,god bless africa bless its leaders wisdom unity and peace these are our shields africa and its people bless africa bless africa bless us the children of africa god bless tanzania grant eternal freedom and unity to its women men and children god bless tanzania and its people bless tanzania bless tanzania bless us the children of tanzania,1
Togo,TG,TGO,Africa,hail to thee land of our forefathers thou who made them strong peaceful and happy cultivated virtue and bravery for prosperity even if tyrants shall come thy heart yearns towards freedom togo arise let us struggle without faltering victory or death but dignity god almighty thou alone hast made togo prosper people of togo arise let us build the nation to serve thee in unity is the most burning desire of our hearts let us shout aloud our motto that nothing can tarnish we the only builders of thy happiness and of thy future everywhere let us break chains and treachery and we swear to thee for ever faith love service untiring zeal to make thee yet beloved togo a golden example for humanity hail hail to the entire universe let us unite our efforts on this immense building site whence will be reborn anew great humanity everywhere instead of misery let us bring happiness let us chase from the world unruly hatred its over with slavery and captivity at the star of liberty let us renew the solidarity of the nations in fraternity,4
Tunisia,TN,TUN,Africa,o defenders of the homeland rally around to the glory of our time the blood surges in our veins we die for the sake of our land let the heavens roar with thunder let thunderbolts rain with fire men and youth of tunisia rise up for her might and glory no place for traitors in tunisia only for those who defend her we live and die loyal to tunisia a life of dignity and a death of glory as a nation we inherited arms like granite towers holding aloft our proud flag flying we boast of it it boasts of us arms that achieve ambitions and glory sure to realize our hopes inflict defeat on foes offer peace to friends when the people will to live destiny must surely respond oppression shall then vanish fetters are certain to break,4
Uganda,UG,UGA,Africa,oh uganda may god uphold thee we lay our future in thy hand united free for liberty together well always stand oh uganda the land of freedom our love and labor we give and with neighbours all at our countrys call in peace and friendship well live oh uganda the land that feeds us by sun and fertile soil grown for our own dear land well always stand the pearl of africas crown,1
Western Sahara,EH,ESH,Africa,o sons of the sahara in the battlefield you are torch holders in the long road make revolution in our nation and follow this path for her sake cut off the head of the invader cut off the head of the invader o revolutionaries the homeland will be glorious cut off the estates in this region remove in war the causes for protest and abandon it no submission no yielding no agent no invader no agent no invader you who ask about us we are the ones who drive the transforming struggle we are the ones who smash that idol we are the ones who understand the beautiful lesson we are the people of the path we are the people of the path we are the ones who revealed the path against the raid the one that burns up the raiders it is the war to erase the oppressor and establish the right of the laborers we are the people of the path we are the people of the path the uprising is for the people and will advance in the arab lands it will produce unity forever in the hearts and will establish justice and democracy every century every generation every century every generation,0
Zambia,ZM,ZMB,Africa,stand and sing of zambia proud and free land of work and joy in unity victors in the struggle for the right we have won freedoms fight all one strong and free africa is our own motherland fashiond with and blessed by gods good hand let us all her people join as one brothers under the sun all one strong and free one land and one nation is our cry dignity and peace neath zambias sky like our noble eagle in its flight zambia praise to thee all one strong and free praise be to god praise be praise be praise be bless our great nation zambia zambia zambia free men we stand under the flag of our land zambia praise to thee all one strong and free,1
Zimbabwe,ZW,ZWE,Africa,oh lift high the banner the flag of zimbabwe the symbol of freedom proclaiming victory we praise our heroes sacrifice and vow to keep our land from foes and may the almighty protect and bless our land oh lovely zimbabwe so wondrously adorned with mountains and rivers cascading flowing free may rain abound and fertile fields may we be fed our labour blessed and may the almighty protect and bless our land oh god we beseech thee to bless our native land the land of our fathers bestowed upon us all from zambezi to limpopo may leaders be exemplary and may the almighty protect and bless our land,1
